#       energy         x-proj    sigmax 
#          MeV             um        um 
 0.00022908677   0.0052387711 0.0067256 
 0.00023442288   0.0053387242 0.0068292 
 0.00023988329   0.0054408355 0.0069346 
 0.00024547089   0.0055451558 0.0070416 
 0.00025118864   0.0056517372 0.0071505 
 0.00025703958   0.0057606332 0.0072611 
  0.0002630268   0.0058718985 0.0073736 
 0.00026915348   0.0059855893  0.007488 
 0.00027542287    0.006101763 0.0076043 
 0.00028183829   0.0062204786 0.0077225 
 0.00028840315   0.0063417965 0.0078427 
 0.00029512092   0.0064657787 0.0079648 
 0.00030199517   0.0065924886 0.0080891 
 0.00030902954   0.0067219913 0.0082153 
 0.00031622777   0.0068543533 0.0083437 
 0.00032359366    0.006989643 0.0084742 
 0.00033113112   0.0071279304 0.0086069 
 0.00033884416   0.0072692873 0.0087418 
 0.00034673685   0.0074137871 0.0088789 
 0.00035481339   0.0075615052 0.0090183 
 0.00036307805   0.0077125187 0.0091601 
 0.00037153523   0.0078669068 0.0093041 
  0.0003801894   0.0080247505 0.0094506 
 0.00038904514   0.0081861329 0.0095995 
 0.00039810717   0.0083511389 0.0097508 
 0.00040738028   0.0085198559 0.0099047 
 0.00041686938   0.0086923731  0.010061 
 0.00042657952    0.008868782   0.01022 
 0.00043651583   0.0090491764  0.010382 
 0.00044668359   0.0092336521  0.010546 
 0.00045708819   0.0094223076  0.010713 
 0.00046773514   0.0096152436  0.010883 
 0.00047863009   0.0098125633  0.011055 
 0.00048977882    0.010014372   0.01123 
 0.00050118723    0.010220779  0.011409 
 0.00051286138    0.010431894   0.01159 
 0.00052480746     0.01064783  0.011774 
  0.0005370318    0.010868705  0.011961 
 0.00054954087    0.011094636  0.012151 
 0.00056234133    0.011325746  0.012344 
 0.00057543994     0.01156216   0.01254 
 0.00058884366    0.011804004   0.01274 
 0.00060255959     0.01205141  0.012943 
   0.000616595    0.012304511  0.013149 
 0.00063095734    0.012563443  0.013358 
 0.00064565423    0.012828348  0.013571 
 0.00066069345    0.013099368  0.013787 
 0.00067608298    0.013376649  0.014006 
 0.00069183097    0.013660342  0.014229 
 0.00070794578    0.013950599  0.014456 
 0.00072443596    0.014247579  0.014686 
 0.00074131024     0.01455144   0.01492 
 0.00075857758    0.014862347  0.015157 
 0.00077624712    0.015180467  0.015398 
 0.00079432823    0.015505973  0.015643 
 0.00081283052     0.01583904  0.015892 
 0.00083176377    0.016179845  0.016145 
 0.00085113804    0.016528574  0.016402 
 0.00087096359    0.016885412  0.016662 
 0.00089125094    0.017250551  0.016927 
 0.00091201084    0.017624187  0.017195 
  0.0009332543    0.018006518  0.017468 
 0.00095499259     0.01839775  0.017745 
 0.00097723722    0.018798089  0.018026 
         0.001    0.019207749  0.018312 
   0.001023293    0.019626947  0.018601 
  0.0010471285    0.020055904  0.018895 
  0.0010715193    0.020494847  0.019194 
  0.0010964782    0.020944007  0.019496 
  0.0011220185    0.021403619  0.019804 
  0.0011481536    0.021873923  0.020116 
  0.0011748976    0.022355167  0.020432 
  0.0012022644    0.022847598  0.020753 
  0.0012302688    0.023351474  0.021078 
  0.0012589254    0.023867054  0.021409 
  0.0012882496    0.024394604  0.021744 
  0.0013182567    0.024934394  0.022084 
  0.0013489629    0.025486701  0.022428 
  0.0013803843    0.026051805  0.022778 
  0.0014125375    0.026629994  0.023132 
  0.0014454398    0.027221559  0.023491 
  0.0014791084    0.027826798  0.023855 
  0.0015135612    0.028446015  0.024224 
  0.0015488166    0.029079516  0.024599 
  0.0015848932    0.029727618  0.024978 
  0.0016218101     0.03039064  0.025362 
  0.0016595869    0.031068908  0.025751 
  0.0016982437    0.031762753  0.026146 
  0.0017378008    0.032472513  0.026546 
  0.0017782794    0.033198532  0.026951 
  0.0018197009    0.033941158  0.027361 
  0.0018620871    0.034700747  0.027776 
  0.0019054607     0.03547766  0.028197 
  0.0019498446    0.036272266  0.028623 
  0.0019952623    0.037084936  0.029054 
  0.0020417379    0.037916052  0.029491 
  0.0020892961       0.038766  0.029933 
  0.0021379621     0.03963517   0.03038 
  0.0021877616    0.040523963  0.030833 
