#       energy         x-proj    sigmax 
#          MeV             um        um 
 0.00022908677   0.0053587398 0.0064852 
 0.00023442288   0.0054614124 0.0065896 
 0.00023988329   0.0055663241 0.0066958 
 0.00024547089   0.0056735287 0.0068039 
 0.00025118864   0.0057830812  0.006914 
 0.00025703958    0.005895038 0.0070261 
  0.0002630268   0.0060094571 0.0071403 
 0.00026915348   0.0061263979 0.0072565 
 0.00027542287   0.0062459213 0.0073719 
 0.00028183829   0.0063680897 0.0074904 
 0.00028840315   0.0064929674  0.007611 
 0.00029512092   0.0066206198 0.0077337 
 0.00030199517   0.0067511146 0.0078586 
 0.00030902954   0.0068845208 0.0079856 
 0.00031622777   0.0070209093  0.008115 
 0.00032359366   0.0071603529 0.0082466 
 0.00033113112   0.0073029262 0.0083805 
 0.00033884416   0.0074487056 0.0085167 
 0.00034673685   0.0075977696 0.0086554 
 0.00035481339   0.0077501987 0.0087965 
 0.00036307805   0.0079060753 0.0089402 
 0.00037153523   0.0080654842 0.0090863 
  0.0003801894   0.0082285122  0.009235 
 0.00038904514   0.0083952481 0.0093864 
 0.00039810717   0.0085657834 0.0095404 
 0.00040738028   0.0087402115 0.0096971 
 0.00041686938   0.0089186285 0.0098566 
 0.00042657952   0.0091011328  0.010019 
 0.00043651583   0.0092878253  0.010184 
 0.00044668359   0.0094788095  0.010352 
 0.00045708819   0.0096741915  0.010523 
 0.00046773514   0.0098740799  0.010697 
 0.00047863009    0.010078586  0.010874 
 0.00048977882    0.010287825  0.011055 
 0.00050118723    0.010501914  0.011238 
 0.00051286138    0.010720972  0.011425 
 0.00052480746    0.010945122  0.011614 
  0.0005370318    0.011174492  0.011808 
 0.00054954087     0.01140921  0.012004 
 0.00056234133    0.011649409  0.012204 
 0.00057543994    0.011895225  0.012408 
 0.00058884366    0.012146796  0.012615 
 0.00060255959    0.012404266  0.012825 
   0.000616595    0.012667781   0.01304 
 0.00063095734     0.01293749  0.013258 
 0.00064565423    0.013213547   0.01348 
 0.00066069345    0.013496109  0.013705 
 0.00067608298    0.013785337  0.013935 
 0.00069183097    0.014081395  0.014169 
 0.00070794578    0.014384453  0.014406 
 0.00072443596    0.014694683  0.014648 
 0.00074131024    0.015012262  0.014894 
 0.00075857758    0.015337372  0.015144 
 0.00077624712    0.015670198  0.015398 
 0.00079432823    0.016010929  0.015657 
 0.00081283052    0.016359761   0.01592 
 0.00083176377    0.016716893  0.016187 
 0.00085113804    0.017082527  0.016459 
 0.00087096359    0.017456872  0.016736 
 0.00089125094    0.017840142  0.017017 
 0.00091201084    0.018232553  0.017303 
  0.0009332543    0.018634331  0.017594 
 0.00095499259    0.019045701   0.01789 
 0.00097723722    0.019466899   0.01819 
         0.001    0.019898162  0.018496 
   0.001023293    0.020339734  0.018807 
